lon,lat,parada,denominacion
-16.292508,28.457635,1416,Frente Hospital General
-16.292901,28.454794,1417,Las Torres (C De Taco)
-16.297443,28.448418,1419,Plaza San Jeronimo (Carretera De Taco)
-16.29945,28.446395,1420,Cruce De Taco (Vultesa)
-16.297053,28.446696,1422,Entrada San Matias
-16.295792,28.448573,1424,Puente De Taco (Ctra Cuesta-taco)
-16.29656,28.449306,1438,Subida Al Cardonal (Avda Chimisay N 2 )
-16.298337,28.451878,1440,Avda Chimisay N 56 (El Cardonal)(ent Iglesia)
-16.299189,28.452798,1441,Subida Al Cardonal (Avda Chimisay N 92)(cajacana
-16.300399,28.45274,1442,Avda Los Majuelos (Esqla Hornera)
-16.301381,28.451833,1443,Avda Los Majuelos (Cardonal)esq Fco Borja
-16.303781,28.450295,1444,Avdalos Majuelos (Colg El Cardonal Ii) Farola 86
-16.305808,28.44835,1445,Avda Los Majuelos (Antes Estacion Texaco)( Tincer
-16.310093,28.444543,1446,Avdalos Majuelos (Pasado Rot Muñeco De Nieve)
-16.313535,28.442341,1447,Avda Los Majuelos (Cruce Sobradillo)
-16.315381,28.440796,1448,Avdalos Majuelos (Pasado Cruce Sobradillo)
-16.318223,28.438539,1449,Avda Los Majuelos (Cruce Institutos)
-16.319957,28.43431,1450,Avda Los Majuelos N      (Bar Macumé)
-16.320689,28.431053,1451,Avda Los Majuelos (Cruce La Gallega)
-16.319379,28.435933,1452,Avda Los Majuelos N      (Escaleras De Acceso)(v
-16.31782,28.438614,1453,Avda Los Majuelos (Cruce Institutos)(vuelta)
-16.315305,28.440519,1454,Avdalos Majuelos (Antes Cruce Sobradillo)
-16.312886,28.442459,1455,Avda Los Majuelos (Estación Shell)
-16.309577,28.444764,1456,Avdalos Majuelos (Antes Rot Muñeco Nieve)
-16.305944,28.447838,1457,Avda Los Majuelos (Frente Est Texaco)
-16.303711,28.449982,1458,Avdalos Majuelos (Frente Colg El Cardonal Ii)
-16.302001,28.450935,1459,Avda Los Majuelos (Cardonal)frente Esq Obispo F
-16.300653,28.451808,1460,Avda Los Majuelos (Frente Plaza S Damián)
-16.299322,28.452661,1461,Bajada Del Cardonal (Avda Chimisay Fr Cajacanari
-16.297802,28.451077,1463,Bajada Del Cardonal (Avda Chimisay Blq29)
-16.296718,28.449202,1464,Bajada Al Cardonal (Avda Chimisay N 1)
-16.192591,28.503235,1473,San Andres
-16.192679,28.507426,1475,El Puente (C Taganana)
-16.193466,28.522064,1476,Tarajales (Entrada Los Polvorines)
-16.193981,28.529941,1477,Los Roques (Bis)
-16.199599,28.541735,1478,Bcocho Eugenio
-16.196459,28.54185,1479,Entrada De Delfino(c Taganana)
-16.19511,28.543051,1480,La Filipina (C Taganana)
-16.196207,28.545104,1481,Paiba (C Taganana)
-16.204604,28.544576,1482,El Cuchillo (Emp Taganana)
-16.20692,28.547656,1483,Cruce  El Bailadero
-16.204391,28.550193,1484,El Bailadero
-16.197059,28.550465,1485,Degollada De Paiba (Bailadero)
-16.179456,28.556282,1487,Parque Forestal (La Ensillada)
-16.155614,28.563308,1491,Las Bodegas
-16.155691,28.565667,1492,La Cumbrilla
-16.156798,28.568752,1494,Colegio Chamorga
-16.159421,28.568538,1496,Chamorga/pde Anaga
-16.156716,28.568743,1499,Colegio Chamorga (Bis)
-16.155873,28.565587,1502,La Cumbrilla (Bis)
-16.279345,28.453776,1505,Las Delicias (Antes Cruce Cardenal Cisneros)
-16.281997,28.45152,1506,Cabritas (Frente C Futbol )(s/c)
